1,2,185
2,1,943
3,6,495
4,7,693
5,10,447
6,7,594
7,7,255
8,7,612
9,8,568
10,9,405
11,9,64
12,2,249
13,4,767
14,8,632
15,5,613
16,3,619
17,2,181
18,4,655
19,9,173
20,9,890
21,1,181
22,6,361
23,2,805
24,2,369
25,4,8
26,10,974
27,4,10
28,6,707
29,5,90
30,6,199
31,10,81
32,7,262
33,8,411
34,10,163
35,1,645
36,5,742
37,7,30
38,1,546
39,5,233
40,1,927
41,6,627
42,5,399
43,2,851
44,5,589
45,8,47
46,1,913
47,9,22
48,5,175
49,2,400
50,3,554
51,4,784
52,8,917
53,1,539
54,7,161
55,1,418
56,4,728
57,8,655
58,2,296
59,9,617
60,5,148
61,4,411
62,7,469
63,2,185
64,7,120
65,6,476
66,5,106
67,8,341
68,1,93
69,5,576
70,1,107
71,2,251
72,8,905
73,2,201
74,8,49
75,4,381
76,2,790
77,1,864
78,3,121
79,7,401
80,2,647
81,10,304
82,10,726
83,7,108
84,10,411
85,4,360
86,9,331
87,8,999
88,7,647
89,6,837
90,5,453
91,2,340
92,9,260
93,4,804
94,3,718
95,4,307
96,1,842
97,5,603
98,10,683
99,7,603
100,5,780
101,3,306
102,1,247
103,3,161
104,3,111
105,2,499
106,1,424
107,7,831
108,9,992
109,4,702
110,10,704
111,2,631
112,5,914
113,7,375
114,4,294
115,9,157
116,6,103
117,3,539
118,4,390
119,2,667
120,2,607
121,1,460
122,9,772
123,8,513
124,7,197
125,2,277
126,7,645
127,3,65
128,10,727
129,2,546
130,2,409
131,7,968
132,8,549
133,2,726
134,5,113
135,8,578
136,1,154
137,1,239
138,9,67
139,8,574
140,3,242
141,3,623
142,4,119
143,7,508
144,3,59
145,9,907
146,9,49
147,1,995
148,5,712
149,2,289
150,4,933
151,6,995
152,4,306
153,5,615
154,1,601
155,3,961
156,9,414
157,1,687
158,9,904
159,8,372
160,9,485
161,8,643
162,1,116
163,8,623
164,7,875
165,7,214
166,3,368
167,6,963
168,5,900
169,10,881
170,2,309
171,6,481
172,2,430
173,1,504
174,5,978
175,3,236
176,10,146
177,5,989
178,6,858
179,8,978
180,9,994
181,4,177
182,4,561
183,4,321
184,7,600
185,1,979
186,8,943
187,8,828
188,7,526
189,7,961
190,10,267
191,1,416
192,6,556
193,6,781
194,8,333
195,9,77
196,6,950
197,5,441
198,5,830
199,7,511
200,7,472
201,5,703
202,2,11
203,7,902
204,6,299
205,4,810
206,2,566
207,10,788
208,10,671
209,5,838
210,6,213
211,7,38
212,8,565
213,9,863
214,4,977
215,1,699
216,5,364
217,4,943
218,3,605
219,7,61
220,6,585
221,3,659
222,6,914
223,2,423
224,4,83
225,9,23
226,7,57
227,7,704
228,10,157
229,6,955
230,9,603
231,7,970
232,5,705
233,7,477
234,2,224
235,4,906
236,5,159
237,9,37
238,9,607
239,4,954
240,7,819
241,8,720
242,2,306
243,8,752
244,4,461
245,5,485
246,8,414
247,2,861
248,2,280
249,7,352
250,10,306
251,4,114
252,9,450
253,7,727
254,4,736
255,10,748
256,7,644
257,1,922
258,3,285
259,10,690
260,3,445
261,2,180
262,5,792
263,7,749
264,8,205
265,10,782
266,3,40
267,6,677
268,2,991
269,3,688
270,1,656
271,5,74
272,9,516
273,1,673
274,10,546
275,3,196
276,6,895
277,4,751
278,3,182
279,2,828
280,3,418
281,5,670
282,5,822
283,9,395
284,1,876
285,3,223
286,2,520
287,3,70
288,10,488
289,4,369
290,10,218
291,7,756
292,8,921
293,4,616
294,10,958
295,3,582
296,4,30
297,3,550
298,10,500
299,9,533
300,1,386
301,3,130
302,6,376
303,10,108
304,3,819
305,9,974
306,2,131
307,9,34
308,8,448
309,8,162
310,2,161
311,6,67
312,3,201
313,5,95
314,3,964
315,10,59
316,1,610
317,2,573
318,1,931
319,3,363
320,10,350
321,4,295
322,1,436
323,1,895
324,9,199
325,7,685
326,7,149
327,6,485
328,6,742
329,7,284
330,3,39
331,4,293
332,8,966
333,3,899
334,5,772
335,4,505
336,6,942
337,10,330
338,6,263
339,2,321
340,1,864
341,1,768
342,7,862
343,2,642
344,4,955
345,4,457
346,7,112
347,7,906
348,7,937
349,5,718
350,3,22
351,4,288
352,8,74
353,4,907
354,1,585
355,10,419
356,4,108
357,7,220
358,5,680
359,2,254
360,2,139
361,5,179
362,10,14
363,2,461
364,7,497
365,3,835
366,6,559
367,6,223
368,8,513
369,5,2
370,10,743
371,2,650
372,2,271
373,7,686
374,9,99
375,4,851
376,4,449
377,10,918
378,5,852
379,10,112
380,9,900
381,10,765
382,9,349
383,5,735
384,5,125
385,4,250
386,8,246
387,10,984
388,8,441
389,2,576
390,1,679
391,7,834
392,5,501
393,7,881
394,10,368
395,2,409
396,1,426
397,3,344
398,9,675
399,9,763
400,2,448
401,8,544
402,8,785
